Country Name,Indicator Name,2014,2015,2016,2017,2018,2019,2020,2021,2022
South Africa,GDP (current US$),3.81199E+11,3.4671E+11,3.23586E+11,3.81449E+11,4.04159E+11,3.88531E+11,3.3762E+11,4.19016E+11,4.0587E+11
Spain,GDP (current US$),1.37182E+12,1.19616E+12,1.23355E+12,1.31325E+12,1.4217E+12,1.39432E+12,1.27696E+12,1.42738E+12,1.39751E+12
Sri Lanka,GDP (current US$),82528535573,85140955517,88012281910,94376237832,94493871351,89014978319,84440535699,88496535599,74403578363
St. Kitts and Nevis,GDP (current US$),953170370.4,957037037,1008100000,1058944444,1076922222,1107844444,884522222.2,860844444.4,961563259.3
St. Lucia,GDP (current US$),1749296296,1807222222,1865444444,1996703704,2057074074,2094185185,1516000000,1691259259,2065027556
St. Vincent and the Grenadines,GDP (current US$),770901436.4,786554580.8,814302267.1,844039068.8,884328180.5,910765709.8,869111852.8,872226063.7,948558503.1
Suriname,GDP (current US$),5240606061,5126238146,3317421500,3591679371,3996198760,4016040575,2911807496,2984706244,3620655116
Sweden,GDP (current US$),5.81964E+11,5.05104E+11,5.15655E+11,5.41019E+11,5.55455E+11,5.3388E+11,5.47054E+11,6.36856E+11,5.85939E+11
Switzerland,GDP (current US$),7.26538E+11,6.94118E+11,6.87895E+11,6.95201E+11,7.25563E+11,7.21369E+11,7.39914E+11,8.0064E+11,8.07706E+11
Syrian Arab Republic,GDP (current US$),21502061462,16468399180,12598742887,16369724433,21496337968,22600896352,11159274040,,
Tajikistan,GDP (current US$),9112606075,8271431932,6992416097,7536403147,7765000282,8300813890,8133963813,8937805347,10492123388
Tanzania,GDP (current US$),49964825081,47378603784,49774004999,53275968095,57003686049,61026765850,66068737757,70655628141,75709289056
Thailand,GDP (current US$),4.07339E+11,4.01296E+11,4.13366E+11,4.56357E+11,5.06754E+11,5.43977E+11,5.00457E+11,5.05568E+11,4.95341E+11
Togo,GDP (current US$),6217047649,5681469374,6031632015,6395472028,7029217932,6992656429,7389329393,8334047486,8126439481
Tonga,GDP (current US$),439877675.7,437003006.7,420548768.1,460374252.2,488906860.9,512053639.8,484796858.8,469228124.2,
Trinidad and Tobago,GDP (current US$),29489012807,26851970249,23496215881,23797686962,24322359037,23849557811,21059428846,24460196270,27899082337
Tunisia,GDP (current US$),50271812921,45779494042,44360065797,42163530591,42686509836,41905637659,42538462678,46687298709,46664948952
Turkey,GDP (current US$),9.38934E+11,8.64314E+11,8.69683E+11,8.58989E+11,7.78477E+11,7.59935E+11,7.20289E+11,8.19034E+11,9.05988E+11
Turkmenistan,GDP (current US$),43524210526,35799714286,36169428571,37926285714,40765428571,44220285714,45610571429,,
Turks and Caicos Isl.,GDP (current US$),841070000,942070000,1032452000,1022365000,1113178000,1197415000,924583000,1044778790,1138808881
Tuvalu,GDP (current US$),38760972.42,36811928.82,41629064.97,45276606,48015219.95,54123195.27,51746568.7,60196366.81,60349391.1
Uganda,GDP (current US$),32612397253,32387183733,29203988697,30744473840,32927025621,35348155092,37605430214,40510241366,45559202049
Ukraine,GDP (current US$),1.33504E+11,91030968761,93355868978,1.12091E+11,1.30891E+11,1.53883E+11,1.56618E+11,1.99766E+11,1.60503E+11
United Arab Emirates,GDP (current US$),4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15022E+11,5.07535E+11
United Kingdom,GDP (current US$),3.06522E+12,2.93486E+12,2.69966E+12,2.68349E+12,2.87815E+12,2.85706E+12,2.70461E+12,3.12248E+12,3.07067E+12
United States,GDP (current US$),1.75507E+13,1.8206E+13,1.86951E+13,1.94773E+13,2.05331E+13,2.1381E+13,2.10605E+13,2.33151E+13,2.54627E+13
Uruguay,GDP (current US$),61496186974,57680328702,57480788380,65006047680,65203071111,62048585619,53666908480,61412268249,71177146197
Uzbekistan,GDP (current US$),80845385816,86196264742,86138288633,62081322741,52870108218,60283503705,60224701296,69600614989,80391853885
Vanuatu,GDP (current US$),772315986.5,730870805.2,780889605.9,880061831,914736985.4,936526267.6,909421043.5,971636097.9,983582864.6
Venezuela,GDP (current US$),4.82359E+11,,,,,,,,
Vietnam,GDP (current US$),2.33451E+11,2.39258E+11,2.57096E+11,2.81354E+11,3.10106E+11,3.34365E+11,3.46616E+11,3.66138E+11,4.08802E+11
Yemen,GDP (current US$),43228585321,42444489461,31317824906,26842231205,21606161066,,,,
Zambia,GDP (current US$),27141023558,21251216799,20958412538,25873601261,26311506435,23308667781,18110638619,22147649569,29784454056
Zimbabwe,GDP (current US$),19495519600,19963120600,20548678100,17584890937,34156069918,21832234926,21509698406,28371238666,20678055598
